128 128
0.0 0.0 3.0410864120731727e-19
0.04908738521234052 0.0 6.400188499648029e-19
0.09817477042468103 0.0 1.053675116610568e-18
0.14726215563702155 0.0 1.6020880930899909e-18
0.19634954084936207 0.0 2.360512204148603e-18
0.2454369260617026 0.0 3.4297639679181154e-18
0.2945243112740431 0.0 4.946778698042466e-18
0.3436116964863836 0.0 7.099403853268368e-18
0.39269908169872414 0.0 1.0146602315004868e-17
0.44178646691106466 0.0 1.4445706227205968e-17
0.4908738521234052 0.0 2.048901003002587e-17
0.5399612373357456 0.0 2.895277219273075e-17
0.5890486225480862 0.0 4.07626142284411e-17
0.6381360077604268 0.0 5.718038795776918e-17
0.6872233929727672 0.0 7.991884502151317e-17
0.7363107781851077 0.0 1.1129187830139478e-16
0.7853981633974483 0.0 1.544096673910978e-16
0.8344855486097889 0.0 2.1342965443545077e-16
0.8835729338221293 0.0 2.9387574616144763e-16
0.9326603190344698 0.0 4.030392545147359e-16
0.9817477042468103 0.0 5.504755459449353e-16
1.030835089459151 0.0 7.486097876938694e-16
1.0799224746714913 0.0 1.0134631217841102e-15
1.1290098598838318 0.0 1.3655066081654716e-15
1.1780972450961724 0.0 1.8306439428195216e-15
1.227184630308513 0.0 2.4413149825911313e-15
1.2762720155208536 0.0 3.237700426480463e-15
1.325359400733194 0.0 4.268993871215561e-15
1.3744467859455345 0.0 5.5946915560963115e-15
1.423534171157875 0.0 7.285833594398159e-15
1.4726215563702154 0.0 9.426114980822332e-15
1.521708941582556 0.0 1.211277216118002e-14
1.5707963267948966 0.0 1.5457143609608463e-14
1.6198837120072371 0.0 1.958480268716775e-14
1.6689710972195777 0.0 2.463516951226906e-14
1.718058482431918 0.0 3.0760526140403256e-14
1.7671458676442586 0.0 3.812438515662355e-14
1.8162332528565992 0.0 4.689919337605344e-14
1.8653206380689396 0.0 5.726338571370309e-14
1.9144080232812801 0.0 6.939783420913339e-14
1.9634954084936207 0.0 8.348175797089529e-14
2.012582793705961 0.0 9.96881662909229e-14
2.061670178918302 0.0 1.1817889601649023e-13
2.110757564130642 0.0 1.3909927513741694e-13
2.1598449493429825 0.0 1.6257240113938602e-13
2.2089323345553233 0.0 1.8869297313099124e-13
2.2580197197676637 0.0 2.1752057333945084e-13
2.3071071049800045 0.0 2.490722714690968e-13
2.356194490192345 0.0 2.8331444064803723e-13
2.405281875404685 0.0 3.2015374036983507e-13
2.454369260617026 0.0 3.594273491334474e-13
2.5034566458293663 0.0 4.0089271871467203e-13
2.552544031041707 0.0 4.442173644074428e-13
2.6016314162540475 0.0 4.889694812046479e-13
2.650718801466388 0.0 5.346104539397542e-13
2.6998061866787286 0.0 5.804905701506416e-13
2.748893571891069 0.0 6.258494026853272e-13
2.7979809571034093 0.0 6.698223590598233e-13
2.84706834231575 0.0 7.114547557030102e-13
2.8961557275280905 0.0 7.497244383960927e-13
2.945243112740431 0.0 7.835734241707122e-13
2.9943304979527716 0.0 8.119482968959144e-13
3.043417883165112 0.0 8.338481887545896e-13
3.0925052683774528 0.0 8.483781925477523e-13
3.141592653589793 0.0 8.548050735051368e-13
3.1906800388021335 0.0 8.526113051224414e-13
3.2397674240144743 0.0 8.415428747490944e-13
3.2888548092268146 0.0 8.216461206515416e-13
3.3379421944391554 0.0 7.932891782318704e-13
3.3870295796514958 0.0 7.571644870976041e-13
3.436116964863836 0.0 7.142702323358018e-13
3.485204350076177 0.0 6.658704682821258e-13
3.5342917352885173 0.0 6.134358188221047e-13
3.5833791205008576 0.0 5.585688056849408e-13
3.6324665057131984 0.0 5.02919718682979e-13
3.6815538909255388 0.0 4.481002008146136e-13
3.730641276137879 0.0 3.9560212206363385e-13
3.77972866135022 0.0 3.46728715101145e-13
3.8288160465625602 0.0 3.02543357074963e-13
3.877903431774901 0.0 2.63838996030621e-13
3.9269908169872414 0.0 2.311283976231668e-13
3.9760782021995817 0.0 2.0465260682442388e-13
4.025165587411922 0.0 1.8440279836783846e-13
4.074252972624263 0.0 1.7014948313080915e-13
4.123340357836604 0.0 1.6147313047801275e-13
4.172427743048944 0.0 1.5779168768712037e-13
4.221515128261284 0.0 1.5838295593408705e-13
4.270602513473625 0.0 1.6240276518082739e-13
4.319689898685965 0.0 1.6890263331131359e-13
