128 128
0.0 0.0 4.0665349722102506e-14
0.04908738521234052 0.0 8.275776690938564e-14
0.09817477042468103 0.0 1.27752440378834e-13
0.14726215563702155 0.0 1.7722184133311242e-13
0.19634954084936207 0.0 2.3288706014890627e-13
0.2454369260617026 0.0 2.966724734450522e-13
0.2945243112740431 0.0 3.7076498682042365e-13
0.3436116964863836 0.0 4.57679182217242e-13
0.39269908169872414 0.0 5.603297821385672e-13
0.44178646691106466 0.0 6.821129152921438e-13
0.4908738521234052 0.0 8.269977221008149e-13
0.5399612373357456 0.0 9.9962986683197e-13
0.5890486225480862 0.0 1.2054485182122076e-12
0.6381360077604268 0.0 1.4508183130054468e-12
0.6872233929727672 0.0 1.7431777151773467e-12
0.7363107781851077 0.0 2.0912050115259462e-12
0.7853981633974483 0.0 2.5050029236300936e-12
0.8344855486097889 0.0 2.9963024420486588e-12
0.8835729338221293 0.0 3.5786859741624603e-12
0.9326603190344698 0.0 4.267829210430468e-12
0.9817477042468103 0.0 5.081760220727687e-12
1.030835089459151 0.0 6.04113315670474e-12
1.0799224746714913 0.0 7.1695125216421395e-12
1.1290098598838318 0.0 8.493662242396044e-12
1.1780972450961724 0.0 1.0043831710751018e-11
1.227184630308513 0.0 1.1854028535650133e-11
1.2762720155208536 0.0 1.3962264960250655e-11
1.325359400733194 0.0 1.641076176679014e-11
1.3744467859455345 0.0 1.9246090064807268e-11
1.423534171157875 0.0 2.2519227718334197e-11
1.4726215563702154 0.0 2.6285503445206906e-11
1.521708941582556 0.0 3.060439800155675e-11
1.5707963267948966 0.0 3.5539168595176334e-11
1.6198837120072371 0.0 4.11562600712411e-11
1.6689710972195777 0.0 4.7524464875096884e-11
1.718058482431918 0.0 5.47137937846187e-11
1.7671458676442586 0.0 6.279402144928005e-11
1.8162332528565992 0.0 7.183287545339354e-11
1.8653206380689396 0.0 8.189384553653088e-11
1.9144080232812801 0.0 9.303360133389287e-11
1.9634954084936207 0.0 1.0529902304526821e-10
2.012582793705961 0.0 1.1872387015560813e-10
2.061670178918302 0.0 1.3332513882826643e-10
2.110757564130642 0.0 1.4909918865133835e-10
2.1598449493429825 0.0 1.6601775337190012e-10
2.2089323345553233 0.0 1.8402398688784913e-10
2.2580197197676637 0.0 2.0302873323208202e-10
2.3071071049800045 0.0 2.229072450380282e-10
2.356194490192345 0.0 2.4349660578708087e-10
2.405281875404685 0.0 2.6459413315993536e-10
2.454369260617026 0.0 2.8595704975645973e-10
2.5034566458293663 0.0 3.0730369887137565e-10
2.552544031041707 0.0 3.2831655273485064e-10
2.6016314162540475 0.0 3.4864720525671777e-10
2.650718801466388 0.0 3.679234588682116e-10
2.6998061866787286 0.0 3.857585056215173e-10
2.748893571891069 0.0 4.017620690599324e-10
2.7979809571034093 0.0 4.15553221456575e-10
2.84706834231575 0.0 4.267744301824349e-10
2.8961557275280905 0.0 4.351062298009828e-10
2.945243112740431 0.0 4.402817782200109e-10
2.9943304979527716 0.0 4.4210045255835925e-10
3.043417883165112 0.0 4.4043958980180625e-10
3.0925052683774528 0.0 4.352634930393697e-10
3.141592653589793 0.0 4.266289157255366e-10
3.1906800388021335 0.0 4.146864068849146e-10
3.2397674240144743 0.0 3.9967714388100796e-10
3.2888548092268146 0.0 3.819251814306545e-10
3.3379421944391554 0.0 3.618253821500899e-10
3.3870295796514958 0.0 3.398276340877081e-10
3.436116964863836 0.0 3.164182694168439e-10
3.485204350076177 0.0 2.9209984090589674e-10
3.5342917352885173 0.0 2.6737055910624333e-10
3.5833791205008576 0.0 2.427047231351076e-10
3.6324665057131984 0.0 2.1853538440262396e-10
3.6815538909255388 0.0 1.9524027361278632e-10
3.730641276137879 0.0 1.731317195031477e-10
3.77972866135022 0.0 1.524509276595537e-10
3.8288160465625602 0.0 1.3336661110174778e-10
3.877903431774901 0.0 1.1597761407239267e-10
3.9269908169872414 0.0 1.0031888435086751e-10
3.9760782021995817 0.0 8.636995477771402e-11
4.025165587411922 0.0 7.406500492721006e-11
4.074252972624263 0.0 6.330358749316535e-11
4.123340357836604 0.0 5.396120601511792e-11
4.172427743048944 0.0 4.589909622098743e-11
4.221515128261284 0.0 3.89727624461092e-11
4.270602513473625 0.0 3.3039022941140026e-11
4.319689898685965 0.0 2.796149695840745e-11
4.368777283898306 0.0 2.3614602906318207e-11
4.417864669110647 0.0 1.988622020490747e-11
4.466952054322987 0.0 1.6679197473616014e-11
4.516039439535327 0.0 1.391187638496155e-11
4.565126824747668 0.0 1.151776329062785e-11
4.614214209960009 0.0 9.444444934375045e-12
4.663301595172349 0.0 7.65183504298951e-12
4.71238898038469 0.0 6.109870363619809e-12
4.76147636559703 0.0 4.795844001719737e-12
4.81056375080937 0.0 3.691644571500737e-12
4.859651136021712 0.0 2.7812201908347922e-12
4.908738521234052 0.0 2.0485679875527817e-12
4.957825906446392 0.0 1.4764490822322852e-12
5.006913291658733 0.0 1.0458717812059662e-12
5.056000676871073 0.0 7.362302562812538e-13
5.105088062083414 0.0 5.258940937304979e-13
5.154175447295755 0.0 3.930442396234932e-13
5.203262832508095 0.0 3.166180835143419e-13
5.252350217720435 0.0 2.7729664921688283e-13
5.301437602932776 0.0 2.5848071660514893e-13
5.350524988145116 0.0 2.4714967052824043e-13
5.399612373357457 0.0 2.344262651042232e-13
5.448699758569798 0.0 2.1565753911484306e-13
5.497787143782138 0.0 1.8991181477425379e-13
5.546874528994478 0.0 1.5896165572210966e-13
5.595961914206819 0.0 1.2599309972332414e-13
5.64504929941916 0.0 9.436543940054849e-14
5.6941366846315 0.0 6.670303562796548e-14
5.743224069843841 0.0 4.445862703129377e-14
5.792311455056181 0.0 2.7919452736289012e-14
5.841398840268521 0.0 1.6506475911607026e-14
5.890486225480862 0.0 9.17940557848533e-15
5.939573610693203 0.0 4.796683887642294e-15
5.988660995905543 0.0 2.3523626797584458e-15
6.037748381117884 0.0 1.081034180863841e-15
6.086835766330224 0.0 4.642982586485041e-16
6.135923151542564 0.0 1.843667716340342e-16
6.1850105367549055 0.0 6.202405949850625e-17
6.234097921967246 0.0 1.8703383640368244e-21
6.283185307179586 0.0 4.0665349722102506e-14
0.0 0.04908738521234052 1.5779331400660732e-13
0.04908738521234052 0.04908738521234052 3.2134831862153495e-13
0.09817477042468103 0.04908738521234052 4.966298456825368e-13
0.14726215563702155 0.04908738521234052 6.900137513251904e-13
0.19634954084936207 0.04908738521234052 9.085046429419133e-13
0.2454369260617026 0.04908738521234052 1.1599686974505678e-12
0.2945243112740431 0.04908738521234052 1.4533872037986314e-12
0.3436116964863836 0.04908738521234052 1.7991368500433286e-12
0.39269908169872414 0.04908738521234052 2.209303162961387e-12
0.44178646691106466 0.04908738521234052 2.698033851149962e-12
0.4908738521234052 0.04908738521234052 3.281939064784942e-12
0.5399612373357456 0.04908738521234052 3.980545730617916e-12
0.5890486225480862 0.04908738521234052 4.816813108869719e-12
0.6381360077604268 0.04908738521234052 5.817716499204437e-12
0.6872233929727672 0.04908738521234052 7.014905531410051e-12
0.7363107781851077 0.04908738521234052 8.445442630225971e-12
0.7853981633974483 0.04908738521234052 1.0152625939970875e-11
0.8344855486097889 0.04908738521234052 1.2186899108859268e-11
0.8835729338221293 0.04908738521234052 1.4606847719980316e-11
0.9326603190344698 0.04908738521234052 1.7480278652283847e-11
