128 128
0.0 0.0 4.746803807375018e-21
0.04908738521234052 0.0 8.348173031324152e-21
0.09817477042468103 0.0 1.508619741825119e-20
0.14726215563702155 0.0 2.758853700086418e-20
0.19634954084936207 0.0 5.016175979464378e-20
0.2454369260617026 0.0 9.027543689844736e-20
0.2945243112740431 0.0 1.6067988157197764e-19
0.3436116964863836 0.0 2.8279471005621653e-19
0.39269908169872414 0.0 4.921094466970106e-19
0.44178646691106466 0.0 8.466441407960361e-19
0.4908738521234052 0.0 1.439985900449384e-18
0.5399612373357456 0.0 2.4210505796401696e-18
0.5890486225480862 0.0 4.023544236982361e-18
0.6381360077604268 0.0 6.6091389304954786e-18
0.6872233929727672 0.0 1.0729635273786702e-17
0.7363107781851077 0.0 1.7214829335631724e-17
0.7853981633974483 0.0 2.7294351032877297e-17
0.8344855486097889 0.0 4.2763238791721583e-17
0.8835729338221293 0.0 6.620220955595366e-17
0.9326603190344698 0.0 1.0126411026231738e-16
0.9817477042468103 0.0 1.53037412982885e-16
1.030835089459151 0.0 2.284952488151836e-16
1.0799224746714913 0.0 3.370337032059625e-16
1.1290098598838318 0.0 4.910952604602469e-16
1.1780972450961724 0.0 7.068618514272948e-16
1.227184630308513 0.0 1.0049866677524812e-15
1.2762720155208536 0.0 1.4113149677286412e-15
1.325359400733194 0.0 1.9575223876902317e-15
1.3744467859455345 0.0 2.681576503984746e-15
1.423534171157875 0.0 3.627906220961024e-15
1.4726215563702154 0.0 4.847147566293259e-15
1.521708941582556 0.0 6.3953279509119714e-15
1.5707963267948966 0.0 8.332358494642176e-15
1.6198837120072371 0.0 1.0719729893722562e-14
1.6689710972195777 0.0 1.3617354617274832e-14
1.718058482431918 0.0 1.707956798977679e-14
1.7671458676442586 0.0 2.115039100857507e-14
1.8162332528565992 0.0 2.5858263009299354e-14
1.8653206380689396 0.0 3.1210563135905764e-14
1.9144080232812801 0.0 3.718834313284113e-14
1.9634954084936207 0.0 4.374177499549764e-14
2.012582793705961 0.0 5.078685961284438e-14
2.061670178918302 0.0 5.820393254478627e-14
2.110757564130642 0.0 6.583843063232262e-14
2.1598449493429825 0.0 7.350424512395327e-14
2.2089323345553233 0.0 8.098978886532309e-14
2.2580197197676637 0.0 8.806666159691171e-14
2.3071071049800045 0.0 9.450053193657057e-14
2.356194490192345 0.0 1.0006359704221052e-13
2.405281875404685 0.0 1.0454776398864905e-13
2.454369260617026 0.0 1.0777755164318951e-13
2.5034566458293663 0.0 1.0962166292183425e-13
2.552544031041707 0.0 1.1000223861833741e-13
2.6016314162540475 0.0 1.0890097559754892e-13
2.650718801466388 0.0 1.0636155921730208e-13
2.6998061866787286 0.0 1.0248819384096675e-13
2.748893571891069 0.0 9.744037732537266e-14
2.7979809571034093 0.0 9.142441134057777e-14
2.84706834231575 0.0 8.46824262605894e-14
2.8961557275280905 0.0 7.747989143875097e-14
2.945243112740431 0.0 7.009265589515803e-14
2.9943304979527716 0.0 6.279451395181523e-14
3.043417883165112 0.0 5.5846125676530836e-14
3.0925052683774528 0.0 4.948586960387633e-14
3.141592653589793 0.0 4.39229037044054e-14
3.1906800388021335 0.0 3.9332405140562604e-14
3.2397674240144743 0.0 3.585269513937581e-14
3.2888548092268146 0.0 3.35837708896708e-14
3.3379421944391554 0.0 3.2586688003757464e-14
3.3870295796514958 0.0 3.28832747225396e-14
3.436116964863836 0.0 3.4455804518930945e-14
3.485204350076177 0.0 3.724648146024956e-14
3.5342917352885173 0.0 4.1156862743924556e-14
3.5833791205008576 0.0 4.60476064127922e-14
3.6324665057131984 0.0 5.1739138624353335e-14
3.6815538909255388 0.0 5.80139390813553e-14
3.730641276137879 0.0 6.462111389575656e-14
3.77972866135022 0.0 7.128375061397684e-14
3.8288160465625602 0.0 7.770924238847992e-14
3.877903431774901 0.0 8.360236343192558e-14
3.9269908169872414 0.0 8.868043254301421e-14
3.9760782021995817 0.0 9.268948524133663e-14
4.025165587411922 0.0 9.542005977733627e-14
4.074252972624263 0.0 9.672104986951303e-14
4.123340357836604 0.0 9.651012756682245e-14
4.172427743048944 0.0 9.477950259145589e-14
4.221515128261284 0.0 9.159623476071708e-14
4.270602513473625 0.0 8.709689619140511e-14
4.319689898685965 0.0 8.147700874929696e-14
4.368777283898306 0.0 7.497626807491704e-14
4.417864669110647 0.0 6.786102248996885e-14
4.466952054322987 0.0 6.040573785739576e-14
4.516039439535327 0.0 5.28752147346501e-14
4.565126824747668 0.0 4.5509135783213164e-14
4.614214209960009 0.0 3.851014838560191e-14
4.663301595172349 0.0 3.203619537962881e-14
4.71238898038469 0.0 2.6197274882858633e-14
4.76147636559703 0.0 2.105631634628772e-14
4.81056375080937 0.0 1.663346793240316e-14
4.859651136021712 0.0 1.2912840266462506e-14
4.908738521234052 0.0 9.850656534959111e-15
4.957825906446392 0.0 7.383806286394975e-15
5.006913291658733 0.0 5.437958257819286e-15
5.056000676871073 0.0 3.934613525469773e-15
5.105088062083414 0.0 2.7967299954613113e-15
5.154175447295755 0.0 1.9527843467393544e-15
5.203262832508095 0.0 1.3393305028643647e-15
5.252350217720435 0.0 9.02249814427342e-16
5.301437602932776 0.0 5.969646603639328e-16
5.350524988145116 0.0 3.8791073146012443e-16
5.399612373357457 0.0 2.4754618511497706e-16
5.448699758569798 0.0 1.5513265005370613e-16
5.497787143782138 0.0 9.546744743914891e-17
5.546874528994478 0.0 5.76894600643722e-17
5.595961914206819 0.0 3.42304017827679e-17
5.64504929941916 0.0 1.9942911141547612e-17
5.6941366846315 0.0 1.140812417079576e-17
5.743224069843841 0.0 6.407352405315446e-18
5.792311455056181 0.0 3.533236859215217e-18
5.841398840268521 0.0 1.9128871461244293e-18
5.890486225480862 0.0 1.0167701150267307e-18
5.939573610693203 0.0 5.306023535729084e-19
5.988660995905543 0.0 2.718480541176234e-19
6.037748381117884 0.0 1.3673684912462299e-19
6.086835766330224 0.0 6.749879798879805e-20
6.135923151542564 0.0 3.2533250539247374e-20
6.1850105367549055 0.0 1.4392384543774576e-20
6.234097921967246 0.0 1.8703383640368244e-21
6.283185307179586 0.0 4.746803807375018e-21
0.0 0.04908738521234052 1.190050705625407e-20
0.04908738521234052 0.04908738521234052 2.022129748787121e-20
0.09817477042468103 0.04908738521234052 3.572484800129842e-20
0.14726215563702155 0.04908738521234052 6.429157847667943e-20
0.19634954084936207 0.04908738521234052 1.1523782183909895e-19
0.2454369260617026 0.04908738521234052 2.0452953020446512e-19
0.2945243112740431 0.04908738521234052 3.5907296491041332e-19
0.3436116964863836 0.04908738521234052 6.23449660588821e-19
0.39269908169872414 0.04908738521234052 1.0705171640778498e-18
0.44178646691106466 0.04908738521234052 1.8178072248531577e-18
0.4908738521234052 0.04908738521234052 3.0524813970510637e-18
0.5399612373357456 0.04908738521234052 5.0687196102088924e-18
0.5890486225480862 0.04908738521234052 8.322857698331916e-18
0.6381360077604268 0.04908738521234052 1.3513393261579529e-17
0.6872233929727672 0.04908738521234052 2.1695154016717003e-17
0.7363107781851077 0.04908738521234052 3.4439424475103975e-17
0.7853981633974483 0.04908738521234052 5.405453006118256e-17
0.8344855486097889 0.04908738521234052 8.388404364827451e-17
0.8835729338221293 0.04908738521234052 1.2870202070573785e-16
0.9326603190344698 0.04908738521234052 1.9522592003455022e-16
0.9817477042468103 0.04908738521234052 2.927673656429648e-16
1.030835089459151 0.04908738521234052 4.3403770076876957e-16
1.0799224746714913 0.04908738521234052 6.361182818763835e-16
1.1290098598838318 0.04908738521234052 9.215935144378694e-16
1.1780972450961724 0.04908738521234052 1.319826708982981e-15
1.227184630308513 0.04908738521234052 1.8683342362590596e-15
1.2762720155208536 0.04908738521234052 2.6141821074708084e-15
1.325359400733194 0.04908738521234052 3.615291870273093e-15
1.3744467859455345 0.04908738521234052 4.94150173519744e-15
1.423534171157875 0.04908738521234052 6.675187802360603e-15
1.4726215563702154 0.04908738521234052 8.911214462807825e-15
1.521708941582556 0.04908738521234052 1.175595935257536e-14
1.5707963267948966 0.04908738521234052 1.5325154594596244e-14
1.6198837120072371 0.04908738521234052 1.9740310735381e-14
1.6689710972195777 0.04908738521234052 2.5123550165369268e-14
1.718058482431918 0.04908738521234052 3.159077794729336e-14
1.7671458676442586 0.04908738521234052 3.9243260910005636e-14
1.8162332528565992 0.04908738521234052 4.8157866074529665e-14
1.8653206380689396 0.04908738521234052 5.837641570703262e-14
1.9144080232812801 0.04908738521234052 6.989483012254297e-14
1.9634954084936207 0.04908738521234052 8.26529258634832e-14
2.012582793705961 0.04908738521234052 9.652588654572407e-14
2.061670178918302 0.04908738521234052 1.1131849569802084e-13
2.110757564130642 0.04908738521234052 1.2676318760734348e-13
2.1598449493429825 0.04908738521234052 1.4252281393346072e-13
2.2089323345553233 0.04908738521234052 1.5819873412362423e-13
2.2580197197676637 0.04908738521234052 1.7334442683261368e-13
2.3071071049800045 0.04908738521234052 1.8748431689491237e-13
2.356194490192345 0.04908738521234052 2.0013696522545885e-13
2.405281875404685 0.04908738521234052 2.1084123875916314e-13
2.454369260617026 0.04908738521234052 2.1918363267339255e-13
2.5034566458293663 0.04908738521234052 2.2482462389983877e-13
2.552544031041707 0.04908738521234052 2.275218468882252e-13
2.6016314162540475 0.04908738521234052 2.271480308918812e-13
2.650718801466388 0.04908738521234052 2.2370202417793722e-13
2.6998061866787286 0.04908738521234052 2.1731182309745438e-13
2.748893571891069 0.04908738521234052 2.082292604191217e-13
2.7979809571034093 0.04908738521234052 1.9681680133018312e-13
2.84706834231575 0.04908738521234052 1.835276482305886e-13
2.8961557275280905 0.04908738521234052 1.6888096995783575e-13
2.945243112740431 0.04908738521234052 1.5343446704987188e-13
2.9943304979527716 0.04908738521234052 1.3775661102944473e-13
3.043417883165112 0.04908738521234052 1.2240073911593462e-13
3.0925052683774528 0.04908738521234052 1.0788277322717979e-13
3.141592653589793 0.04908738521234052 9.466372734837741e-14
3.1906800388021335 0.04908738521234052 8.313746147441476e-14
3.2397674240144743 0.04908738521234052 7.362343846653222e-14
3.2888548092268146 0.04908738521234052 6.636364575821053e-14
3.3379421944391554 0.04908738521234052 6.152244341923377e-14
3.3870295796514958 0.04908738521234052 5.918795038532493e-14
3.436116964863836 0.04908738521234052 5.937369998629051e-14
3.485204350076177 0.04908738521234052 6.201966073552288e-14
3.5342917352885173 0.04908738521234052 6.699226567498768e-14
3.5833791205008576 0.04908738521234052 7.408372882516501e-14
3.6324665057131984 0.04908738521234052 8.301153705367192e-14
3.6815538909255388 0.04908738521234052 9.341947399938832e-14
3.730641276137879 0.04908738521234052 1.0488175915441625e-13
3.77972866135022 0.04908738521234052 1.1691180245027963e-13
